location_id,location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date,Row,Type,Field,Value,Message,Row,Type,Field,Value,Message,Row,Type,Field,Value,Message,Row,Type,Field,Value,Message
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Traditional Queen- Twin ,"A well-appointed double/ Twin room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,0,5,1,2,0,0,0,0,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Traditional Queen- Twin ,"A well-appointed double/ Twin room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,6,11,1,2,20,205,24,50,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Traditional Queen- Twin ,"A well-appointed double/ Twin room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,12,99,1,2,205,205,24,50,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Deluxe Premium King ,"A well-appointed double room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,0,5,1,2,0,0,0,0,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Deluxe Premium King ,"A well-appointed double room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,6,11,1,2,20,245,24,50,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Deluxe Premium King ,"A well-appointed double room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,12,99,1,2,245,245,24,50,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Suite Club King,"A well-appointed double room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,0,5,1,2,0,0,0,0,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Suite Club King,"A well-appointed double room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,6,11,1,2,20,360,24,50,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Suite Club King,"A well-appointed double room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,12,99,1,2,360,360,24,50,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
116,Arusha,Four Points By Sheraton - The Arusha Hotel,,"A historic mid-range city hotel in Arusha with spacious air-conditioned rooms, free Wi-Fi, outdoor pool, gym, restaurant and bar. Perfect for relaxing before or after a safari, it blends classic East African charm with modern comforts and garden views just minutes from town amenities.",FALSE,0,FALSE,USD,Suite Premium Queen ,"A well-appointed double room with a spacious bed setup, en-suite bathroom, and modern amenities, designed for comfort and relaxation, providing a warm ambiance and excellent value for couples or friends.
",2,0,5,1,2,0,0,0,0,2/9/2025,31/12/2026,,,,,,,,,,,,,,,,,,,,
